,Unnamed: 0,Exp. No.,Salt,Concentration (mol/l),FP position,Gas flow (l/min),Date,PP Timestamp,FP Timestamp,Datetime,Comment,Ignore,Concentration (g/l),Ionic strength,p_GM,Na (mol/l),NH4 (mol/l),Cl (mol/l),SO4 (mol/l),Ac (mol/l),Density,Viscosity,Surface tension
0,0,0,Water,0.0,1,100.0,20250321,112002,111711,2025-03-21T11:17:11,"FP: Mismatched PP. Use 112002..
PP: nan",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.1999999999999,,
1,1,1,Water,0.0,2,100.0,20250321,113119,113116,2025-03-21T11:31:16,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.1999999999999,,
2,2,2,Water,0.0,3,100.0,20250321,114347,114344,2025-03-21T11:43:44,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.1999999999999,,
3,3,3,Water,0.0,4,100.0,20250321,115435,115431,2025-03-21T11:54:31,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.1999999999999,,
4,4,4,Water,0.0,5,100.0,20250321,120551,120542,2025-03-21T12:05:42,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.1999999999999,,
5,5,5,Water,0.0,6,100.0,20250321,132822,132818,2025-03-21T13:28:18,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.1999999999999,,
6,6,6,Water,0.0,7,100.0,20250321,133856,133850,2025-03-21T13:38:50,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.1999999999999,,
7,7,7,Water,0.0,8,100.0,20250321,135120,135118,2025-03-21T13:51:18,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.1999999999999,,
8,8,8,Water,0.0,9,100.0,20250321,140325,140322,2025-03-21T14:03:22,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.1999999999999,,
9,9,9,Water,0.0,1,100.0,20250321,112002,141957,2025-03-21T14:19:57,"FP: FP Only. No holdup. Could use 112002 for PP. Skip for now..
PP: nan",True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.1999999999999,,
10,10,10,NaCl,0.0,1,50.0,20250324,94045,94028,2025-03-24T09:40:28,"FP: 50 l/min measurement.
PP: nan",True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.1999999999999,,
11,11,11,NaCl,0.0,1,100.0,20250324,94345,94341,2025-03-24T09:43:41,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.1999999999999,,
12,12,12,NaCl,0.0,3,100.0,20250324,95854,95848,2025-03-24T09:58:48,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.1999999999999,,
13,13,13,NaCl,0.0,5,100.0,20250324,101101,101057,2025-03-24T10:10:57,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.1999999999999,,
14,14,14,NaCl,0.0,7,100.0,20250324,102127,102124,2025-03-24T10:21:24,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.1999999999999,,
15,15,15,NaCl,0.0,9,100.0,20250324,103247,103242,2025-03-24T10:32:42,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.1999999999999,,
16,16,16,NaCl,0.0004,1,100.0,20250324,104911,104908,2025-03-24T10:49:08,,False,0.02336,0.0004,39.75988921020918,0.0004,0.0,0.0004,0.0,0.0,998.2167441860464,,
17,17,17,NaCl,0.0004,3,100.0,20250324,110314,110308,2025-03-24T11:03:08,,False,0.02336,0.0004,39.75988921020918,0.0004,0.0,0.0004,0.0,0.0,998.2167441860464,,
18,18,18,NaCl,0.0004,5,100.0,20250324,111550,111546,2025-03-24T11:15:46,,False,0.02336,0.0004,39.75988921020918,0.0004,0.0,0.0004,0.0,0.0,998.2167441860464,,
19,19,19,NaCl,0.0004,7,100.0,20250324,112618,112612,2025-03-24T11:26:12,,False,0.02336,0.0004,39.75988921020918,0.0004,0.0,0.0004,0.0,0.0,998.2167441860464,,
20,20,20,NaCl,0.0004,9,100.0,20250324,113650,113646,2025-03-24T11:36:46,,False,0.02336,0.0004,39.75988921020918,0.0004,0.0,0.0004,0.0,0.0,998.2167441860464,,
21,21,21,NaCl,0.00077,1,100.0,20250324,115142,115136,2025-03-24T11:51:36,,False,0.044967999999999994,0.00077,65.55119369882442,0.00077,0.0,0.00077,0.0,0.0,998.2322325581396,,
22,22,22,NaCl,0.00077,3,100.0,20250324,120545,120542,2025-03-24T12:05:42,,False,0.044967999999999994,0.00077,65.55119369882442,0.00077,0.0,0.00077,0.0,0.0,998.2322325581396,,
23,23,23,NaCl,0.00077,5,100.0,20250324,121659,121650,2025-03-24T12:16:50,,False,0.044967999999999994,0.00077,65.55119369882442,0.00077,0.0,0.00077,0.0,0.0,998.2322325581396,,
24,24,24,NaCl,0.00077,7,100.0,20250324,122837,122834,2025-03-24T12:28:34,,False,0.044967999999999994,0.00077,65.55119369882442,0.00077,0.0,0.00077,0.0,0.0,998.2322325581396,,
25,25,25,NaCl,0.00077,9,100.0,20250324,123923,123920,2025-03-24T12:39:20,,False,0.044967999999999994,0.00077,65.55119369882442,0.00077,0.0,0.00077,0.0,0.0,998.2322325581396,,
26,26,26,NaCl,0.0015,1,100.0,20250324,132955,132950,2025-03-24T13:29:50,"FP: Only holdup (disk full).
PP: nan",True,0.0876,0.0015,108.27871517290615,0.0015,0.0,0.0015,0.0,0.0,998.2627906976744,,
27,27,27,NaCl,0.0015,1,100.0,20250324,141431,141427,2025-03-24T14:14:27,"FP: No data - exclude.
PP: nan",True,0.0876,0.0015,108.27871517290615,0.0015,0.0,0.0015,0.0,0.0,998.2627906976744,,
28,28,28,NaCl,0.0015,3,100.0,20250324,143145,143142,2025-03-24T14:31:42,"FP: No data - exclude.
PP: nan",True,0.0876,0.0015,108.27871517290615,0.0015,0.0,0.0015,0.0,0.0,998.2627906976744,,
