,Exp. No.,Salt,Concentration (mol/l),FP position,Gas flow (l/min),Date,PP Timestamp,FP Timestamp,Datetime,Comment,Ignore
0,0.0,Water,0.0,1.0,100.0,20250321,112002,111711,2025-03-21T11:17:11,"FP: Mismatched PP. Use 112002..
PP: nan",False
1,1.0,Water,0.0,2.0,100.0,20250321,113119,113116,2025-03-21T11:31:16,,False
2,2.0,Water,0.0,3.0,100.0,20250321,114347,114344,2025-03-21T11:43:44,,False
3,3.0,Water,0.0,4.0,100.0,20250321,115435,115431,2025-03-21T11:54:31,,False
4,4.0,Water,0.0,5.0,100.0,20250321,120551,120542,2025-03-21T12:05:42,,False
5,5.0,Water,0.0,6.0,100.0,20250321,132822,132818,2025-03-21T13:28:18,,False
6,6.0,Water,0.0,7.0,100.0,20250321,133856,133850,2025-03-21T13:38:50,,False
7,7.0,Water,0.0,8.0,100.0,20250321,135120,135118,2025-03-21T13:51:18,,False
8,8.0,Water,0.0,9.0,100.0,20250321,140325,140322,2025-03-21T14:03:22,,False
9,9.0,Water,0.0,1.0,100.0,20250321,112002,141957,2025-03-21T14:19:57,"FP: FP Only. No holdup. Could use 112002 for PP. Skip for now..
PP: nan",True
10,10.0,NaCl,0.0,1.0,50.0,20250324,94045,94028,2025-03-24T09:40:28,"FP: 50 l/min measurement.
PP: nan",True
11,11.0,NaCl,0.0,1.0,100.0,20250324,94345,94341,2025-03-24T09:43:41,,False
12,12.0,NaCl,0.0,3.0,100.0,20250324,95854,95848,2025-03-24T09:58:48,,False
13,13.0,NaCl,0.0,5.0,100.0,20250324,101101,101057,2025-03-24T10:10:57,,False
14,14.0,NaCl,0.0,7.0,100.0,20250324,102127,102124,2025-03-24T10:21:24,,False
15,15.0,NaCl,0.0,9.0,100.0,20250324,103247,103242,2025-03-24T10:32:42,,False
16,16.0,NaCl,0.0004,1.0,100.0,20250324,104911,104908,2025-03-24T10:49:08,,False
17,17.0,NaCl,0.0004,3.0,100.0,20250324,110314,110308,2025-03-24T11:03:08,,False
18,18.0,NaCl,0.0004,5.0,100.0,20250324,111550,111546,2025-03-24T11:15:46,,False
19,19.0,NaCl,0.0004,7.0,100.0,20250324,112618,112612,2025-03-24T11:26:12,,False
20,20.0,NaCl,0.0004,9.0,100.0,20250324,113650,113646,2025-03-24T11:36:46,,False
21,21.0,NaCl,0.00077,1.0,100.0,20250324,115142,115136,2025-03-24T11:51:36,,False
22,22.0,NaCl,0.00077,3.0,100.0,20250324,120545,120542,2025-03-24T12:05:42,,False
23,23.0,NaCl,0.00077,5.0,100.0,20250324,121659,121650,2025-03-24T12:16:50,,False
24,24.0,NaCl,0.00077,7.0,100.0,20250324,122837,122834,2025-03-24T12:28:34,,False
25,25.0,NaCl,0.00077,9.0,100.0,20250324,123923,123920,2025-03-24T12:39:20,,False
26,26.0,NaCl,0.0015,1.0,100.0,20250324,132955,132950,2025-03-24T13:29:50,"FP: Only holdup (disk full).
PP: nan",True
27,27.0,NaCl,0.0015,1.0,100.0,20250324,141431,141427,2025-03-24T14:14:27,"FP: No data - exclude.
PP: nan",True
28,28.0,NaCl,0.0015,3.0,100.0,20250324,143145,143142,2025-03-24T14:31:42,"FP: No data - exclude.
PP: nan",True
29,29.0,NaCl,0.0015,5.0,100.0,20250324,144453,144451,2025-03-24T14:44:51,"FP: No data - exclude.
PP: nan",True
30,30.0,NaCl,0.0015,7.0,100.0,20250324,145711,145706,2025-03-24T14:57:06,"FP: No data - exclude.
PP: nan",True
31,31.0,NaCl,0.0015,9.0,100.0,20250324,150717,150715,2025-03-24T15:07:15,"FP: No data - exclude.
PP: nan",True
32,32.0,NaCl,0.0028,1.0,100.0,20250324,152334,152330,2025-03-24T15:23:30,"FP: No data - exclude.
PP: nan",True
33,33.0,NaCl,0.0028,3.0,100.0,20250324,153708,153705,2025-03-24T15:37:05,"FP: No data - exclude.
PP: nan",True
34,34.0,NaCl,0.0028,5.0,100.0,20250324,155028,155025,2025-03-24T15:50:25,"FP: No data - exclude.
PP: nan",True
